,date,home_team,score,away_team
337,20-08-2022,Osasuna,2 - 0,Cadiz
338,26-08-2022,Betis,1 - 0,Osasuna
339,04-09-2022,Osasuna,2 - 1,Vallecano
340,12-09-2022,Almeria,0 - 1,Osasuna
341,18-09-2022,Osasuna,0 - 2,Getafe
342,02-10-2022,Real Madrid,1 - 1,Osasuna
343,07-10-2022,Osasuna,1 - 2,Valencia
344,17-10-2022,Villarreal,2 - 0,Osasuna
345,20-10-2022,Osasuna,1 - 0,Espanol
346,23-10-2022,Girona,1 - 1,Osasuna
347,30-10-2022,Osasuna,2 - 0,Valladolid
348,05-11-2022,Celta,1 - 2,Osasuna
349,08-11-2022,Osasuna,1 - 2,Barcelona
350,31-12-2022,Sociedad,2 - 0,Osasuna
351,09-01-2023,Ath Bilbao,0 - 0,Osasuna
352,14-01-2023,Osasuna,1 - 0,Mallorca
353,22-01-2023,Elche,1 - 1,Osasuna
354,29-01-2023,Osasuna,0 - 1,Ath Madrid
355,04-02-2023,Espanol,1 - 1,Osasuna
356,12-02-2023,Valladolid,0 - 0,Osasuna
357,18-02-2023,Osasuna,0 - 2,Real Madrid
358,26-02-2023,Sevilla,2 - 3,Osasuna
359,06-03-2023,Osasuna,0 - 0,Celta
360,11-03-2023,Valencia,1 - 0,Osasuna
361,19-03-2023,Osasuna,0 - 3,Villarreal
362,31-03-2023,Mallorca,0 - 0,Osasuna
363,08-04-2023,Osasuna,? - ?,Elche
364,14-08-2022,Almeria,1 - 2,Real Madrid
365,20-08-2022,Celta,1 - 4,Real Madrid
366,28-08-2022,Espanol,1 - 3,Real Madrid
367,03-09-2022,Real Madrid,2 - 1,Betis
368,11-09-2022,Real Madrid,4 - 1,Mallorca
369,18-09-2022,Ath Madrid,1 - 2,Real Madrid
370,02-10-2022,Real Madrid,1 - 1,Osasuna
371,08-10-2022,Getafe,0 - 1,Real Madrid
372,16-10-2022,Real Madrid,3 - 1,Barcelona
373,19-10-2022,Elche,0 - 3,Real Madrid
374,22-10-2022,Real Madrid,3 - 1,Sevilla
375,30-10-2022,Real Madrid,1 - 1,Girona
376,07-11-2022,Vallecano,3 - 2,Real Madrid
377,10-11-2022,Real Madrid,2 - 1,Cadiz
378,30-12-2022,Valladolid,0 - 2,Real Madrid
379,07-01-2023,Villarreal,2 - 1,Real Madrid
380,22-01-2023,Ath Bilbao,0 - 2,Real Madrid
381,29-01-2023,Real Madrid,0 - 0,Sociedad
382,02-02-2023,Real Madrid,2 - 0,Valencia
383,05-02-2023,Mallorca,1 - 0,Real Madrid
384,15-02-2023,Real Madrid,4 - 0,Elche
385,18-02-2023,Osasuna,0 - 2,Real Madrid
386,25-02-2023,Real Madrid,1 - 1,Ath Madrid
387,05-03-2023,Betis,0 - 0,Real Madrid
388,11-03-2023,Real Madrid,3 - 1,Espanol
389,19-03-2023,Barcelona,2 - 1,Real Madrid
390,02-04-2023,Real Madrid,6 - 0,Valladolid
391,08-04-2023,Real Madrid,? - ?,Villarreal
392,12-08-2022,Osasuna,2 - 1,Sevilla
393,19-08-2022,Sevilla,1 - 1,Valladolid
394,27-08-2022,Almeria,2 - 1,Sevilla
395,03-09-2022,Sevilla,0 - 3,Barcelona
396,10-09-2022,Espanol,2 - 3,Sevilla
397,18-09-2022,Villarreal,1 - 1,Sevilla
398,01-10-2022,Sevilla,0 - 2,Ath Madrid
399,08-10-2022,Sevilla,1 - 1,Ath Bilbao
400,15-10-2022,Mallorca,0 - 1,Sevilla
401,18-10-2022,Sevilla,1 - 1,Valencia
402,22-10-2022,Real Madrid,3 - 1,Sevilla
403,29-10-2022,Sevilla,0 - 1,Vallecano
404,06-11-2022,Betis,1 - 1,Sevilla
405,09-11-2022,Sevilla,1 - 2,Sociedad
406,30-12-2022,Celta,1 - 1,Sevilla
407,08-01-2023,Sevilla,2 - 1,Getafe
408,14-01-2023,Girona,2 - 1,Sevilla
409,21-01-2023,Sevilla,1 - 0,Cadiz
410,28-01-2023,Sevilla,3 - 0,Elche
411,05-02-2023,Barcelona,3 - 0,Sevilla
412,11-02-2023,Sevilla,2 - 0,Mallorca
413,19-02-2023,Vallecano,1 - 1,Sevilla
414,26-02-2023,Sevilla,2 - 3,Osasuna
415,04-03-2023,Ath Madrid,6 - 1,Sevilla
416,12-03-2023,Sevilla,2 - 1,Almeria
417,19-03-2023,Getafe,2 - 0,Sevilla
418,01-04-2023,Cadiz,0 - 2,Sevilla
419,07-04-2023,Sevilla,2 - 2,Celta
420,14-08-2022,Cadiz,0 - 1,Sociedad
421,21-08-2022,Sociedad,1 - 4,Barcelona
422,27-08-2022,Elche,0 - 1,Sociedad
423,03-09-2022,Sociedad,1 - 1,Ath Madrid
424,11-09-2022,Getafe,2 - 1,Sociedad
425,18-09-2022,Sociedad,2 - 1,Espanol
426,02-10-2022,Girona,3 - 5,Sociedad
427,09-10-2022,Sociedad,1 - 0,Villarreal
428,16-10-2022,Celta,1 - 2,Sociedad
429,19-10-2022,Sociedad,1 - 0,Mallorca
430,22-10-2022,Valladolid,1 - 0,Sociedad
431,30-10-2022,Sociedad,0 - 2,Betis
432,06-11-2022,Sociedad,1 - 1,Valencia
433,09-11-2022,Sevilla,1 - 2,Sociedad
434,31-12-2022,Sociedad,2 - 0,Osasuna
435,08-01-2023,Almeria,0 - 2,Sociedad
436,14-01-2023,Sociedad,3 - 1,Ath Bilbao
437,21-01-2023,Vallecano,0 - 2,Sociedad
438,29-01-2023,Real Madrid,0 - 0,Sociedad
439,05-02-2023,Sociedad,0 - 1,Valladolid
440,13-02-2023,Espanol,2 - 3,Sociedad
441,18-02-2023,Sociedad,1 - 1,Celta
442,25-02-2023,Valencia,1 - 0,Sociedad
443,03-03-2023,Sociedad,0 - 0,Cadiz
444,12-03-2023,Mallorca,1 - 1,Sociedad
445,19-03-2023,Sociedad,2 - 0,Elche
446,02-04-2023,Villarreal,2 - 0,Sociedad
447,08-04-2023,Sociedad,? - ?,Getafe
448,14-08-2022,Valencia,1 - 0,Girona
449,21-08-2022,Ath Bilbao,1 - 0,Valencia
450,29-08-2022,Valencia,0 - 1,Ath Madrid
451,04-09-2022,Valencia,5 - 1,Getafe
452,10-09-2022,Vallecano,2 - 1,Valencia
453,17-09-2022,Valencia,3 - 0,Celta
454,02-10-2022,Espanol,2 - 2,Valencia
455,07-10-2022,Osasuna,1 - 2,Valencia
456,15-10-2022,Valencia,2 - 2,Elche
457,18-10-2022,Sevilla,1 - 1,Valencia
458,22-10-2022,Valencia,1 - 2,Mallorca
459,29-10-2022,Valencia,0 - 1,Barcelona
460,06-11-2022,Sociedad,1 - 1,Valencia
461,10-11-2022,Valencia,3 - 0,Betis
462,31-12-2022,Villarreal,2 - 1,Valencia
463,06-01-2023,Valencia,0 - 1,Cadiz
464,23-01-2023,Valencia,2 - 2,Almeria
465,29-01-2023,Valladolid,1 - 0,Valencia
466,02-02-2023,Real Madrid,2 - 0,Valencia
467,05-02-2023,Girona,1 - 0,Valencia
468,11-02-2023,Valencia,1 - 2,Ath Bilbao
469,20-02-2023,Getafe,1 - 0,Valencia
470,25-02-2023,Valencia,1 - 0,Sociedad
471,05-03-2023,Barcelona,1 - 0,Valencia
472,11-03-2023,Valencia,1 - 0,Osasuna
473,18-03-2023,Ath Madrid,3 - 0,Valencia
474,03-04-2023,Valencia,1 - 1,Vallecano
475,09-04-2023,Almeria,? - ?,Valencia
476,13-08-2022,Valladolid,0 - 3,Villarreal
477,19-08-2022,Sevilla,1 - 1,Valladolid
478,28-08-2022,Barcelona,4 - 0,Valladolid
479,05-09-2022,Valladolid,1 - 0,Almeria
480,09-09-2022,Girona,2 - 1,Valladolid
481,16-09-2022,Valladolid,0 - 1,Cadiz
482,01-10-2022,Getafe,2 - 3,Valladolid
483,09-10-2022,Valladolid,0 - 0,Betis
484,16-10-2022,Espanol,1 - 0,Valladolid
485,19-10-2022,Valladolid,4 - 1,Celta
486,22-10-2022,Valladolid,1 - 0,Sociedad
487,30-10-2022,Osasuna,2 - 0,Valladolid
