title,author,length
When Race Trumps Merit,Heather Mac Donald,Length: 9 hrs and 46 mins
Duskbringer,Actus,Length: 13 hrs and 32 mins
"Days of Splendor, Days of Sorrow",Juliet Grey,Length: 17 hrs and 56 mins
Nightshade,Keri Lake,Length: 20 hrs and 26 mins
Becoming Free Indeed,"Jinger Duggar Vuolo,Corey Williams",Length: 5 hrs and 49 mins
The Prodigal,Kristy Marie,Length: 8 hrs and 58 mins
Grandmaster Arcanist,Shami Stovall,Length: 15 hrs and 13 mins
A Fever in the Heartland,Timothy Egan,Length: 10 hrs and 29 mins
Choosing to Run,"Des Linden,Bonnie D. Ford - contributor",Length: 5 hrs and 31 mins
What Lies in the Woods,Kate Alice Marshall,Length: 11 hrs and 16 mins
Empire of Lust,J. L. Beck,Length: 10 hrs and 38 mins
The Unlucky Girl,Elle Gray,Length: 7 hrs and 26 mins
Big Trouble on Sullivan's Island,Susan M. Boyer,Length: 9 hrs and 55 mins
Flux,Jinwoo Chong,Length: 9 hrs and 9 mins
For You and Only You,Caroline Kepnes,Length: 15 hrs and 31 mins
Order of Scorpions,Ivy Asher,Length: 25 hrs and 44 mins
Academy Arcanist,Shami Stovall,Length: 12 hrs and 57 mins
A Complete Guide to the Google Cloud Platform,Aaron C. Genova,Length: 1 hr and 5 mins
Queen Charlotte,"Julia Quinn,Shonda Rhimes",Length: 12 hrs and 23 mins
Mother of Learning Arc 4,"nobody103,Domagoj Kurmaic",Length: 22 hrs and 12 mins
The Value of Sylver and Gold,Michelle Larkin,Length: 8 hrs and 38 mins
Bastard,"Alexey Osadchuk,Andrew Douglas Schmitt - translator",Length: 9 hrs and 37 mins
Querido Yo [Dear Me],Alejandro Sequera,Length: 3 hrs and 37 mins
"Secrets of the Fae, Books 7-9","M. Lynn,Melissa Craven",Length: 21 hrs and 41 mins
The Wishing Pool and Other Stories,Tananarive Due,Length: 8 hrs and 14 mins
The Echo of Old Books,Barbara Davis,Length: 13 hrs and 8 mins
City of Dreams,Don Winslow,Length: 8 hrs and 8 mins
Steel,Anna Hackett,Length: 5 hrs and 36 mins
Countdown,"James Patterson,Brendan DuBois",Length: 11 hrs and 25 mins
Think and Grow Rich,Napoleon Hill,Length: 9 hrs and 35 mins
The Four Agreements,don Miguel Ruiz,Length: 2 hrs and 31 mins
Extreme Ownership,"Jocko Willink,Leif Babin",Length: 9 hrs and 33 mins
The Untethered Soul,Michael A. Singer,Length: 6 hrs and 11 mins
The Alchemist,Paulo Coelho,Length: 4 hrs
Sapiens,Yuval Noah Harari,Length: 15 hrs and 18 mins
Born a Crime,Trevor Noah,Length: 8 hrs and 44 mins
Traction,Gino Wickman,Length: 6 hrs and 56 mins
Children of Time,Adrian Tchaikovsky,Length: 16 hrs and 31 mins
A Nefarious Plot,Steve Deace,Length: 5 hrs and 38 mins
A Gentleman in Moscow,Amor Towles,Length: 17 hrs and 52 mins
A Show of Faith,Greer Hendricks,Length: 1 hr and 8 mins
The 6 Types of Working Genius,Patrick M. Lencioni,Length: 4 hrs and 11 mins
"Guns, Germs and Steel",Jared Diamond,Length: 16 hrs and 20 mins
Profit First,Mike Michalowicz,Length: 8 hrs and 35 mins
The Love We Make,Harper Bliss,Length: 7 hrs and 11 mins
The Truth About Wuhan,Dr. Andrew G. Huff,Length: 14 hrs and 10 mins
The Emperor's Bone Palace,Hailey Turner,Length: 16 hrs and 34 mins
Six of Crows,Leigh Bardugo,Length: 15 hrs and 4 mins
Spare,Prince Harry The Duke of Sussex,Length: 15 hrs and 39 mins
The Name of the Wind,Patrick Rothfuss,Length: 27 hrs and 55 mins
How to Make Money in Stocks (Fourth Edition),William J. O'Neil,Length: 11 hrs and 50 mins
My Dark Romeo,"L.J. Shen,Parker S. Huntington",Length: 12 hrs and 29 mins
Brain Energy,Christopher M. Palmer MD,Length: 12 hrs and 18 mins
How We Live Is How We Die,Pema Chödrön,Length: 6 hrs and 7 mins
Frame: On Self Actualization for the Modern Man,Rian Stone,Length: 6 hrs and 22 mins
8 Rules of Love,Jay Shetty,Length: 10 hrs and 21 mins
I Know Why the Caged Bird Sings,Maya Angelou,Length: 10 hrs and 11 mins
Essentialism,Greg McKeown,Length: 6 hrs and 14 mins
The Rise and Fall of the Third Reich,William L. Shirer,Length: 57 hrs and 11 mins
Grit,Angela Duckworth,Length: 9 hrs and 22 mins
Make Your Bed,William H. McRaven,Length: 1 hr and 53 mins
Motor Spirit: The Long Hunt for the Zodiac,Jarett Kobek,Length: 10 hrs and 27 mins
Unfu*k Yourself,Gary John Bishop,Length: 3 hrs and 24 mins
The Nanny,Lana Ferguson,Length: 13 hrs and 15 mins
Saturday Night at the Lakeside Supper Club,J. Ryan Stradal,Length: 9 hrs and 20 mins
The Sacred Mushroom and the Cross,John M. Allegro,Length: 10 hrs and 33 mins
Parfit,David Edmonds,Length: 13 hrs and 14 mins
The Song of Achilles,Madeline Miller,Length: 11 hrs and 15 mins
The Slight Edge,Jeff Olson,Length: 9 hrs and 47 mins
Don't Make Me Count to Three!,Ginger Hubbard,Length: 3 hrs and 46 mins
The Light We Carry,Michelle Obama,Length: 9 hrs and 59 mins
The Good and Beautiful You,James Bryan Smith,Length: 8 hrs and 34 mins
The Words We Lost,Nicole Deese,Length: 13 hrs and 53 mins
Jonas,Susan May Warren,Length: 8 hrs and 23 mins
The Best Minds,Jonathan Rosen,Length: 16 hrs and 44 mins
Wyoming Wild,Sarah M. Eden,Length: 7 hrs and 32 mins
Saffron Wilds,Kai Butler,Length: 12 hrs and 48 mins
Leviathan Wakes,James S. A. Corey,Length: 20 hrs and 56 mins
If Only You,Chloe Liese,Length: 11 hrs
In a Jam,Kate Canterbary,Length: 15 hrs and 54 mins
Double Back,Shannon Baker,Length: 8 hrs and 52 mins
The Last Devil to Die,Richard Osman,Length: 12 hrs
The Devil in the White City,Erik Larson,Length: 14 hrs and 58 mins
It Didn't Start with You,Mark Wolynn,Length: 8 hrs and 16 mins
Orbital Ascension,Igor Nikolic,Length: 7 hrs and 45 mins
